summary_name,excluded_summary_name,text_length,mbits
summary_gpt4o_8_1,summary_gpt4o_3_1,578,48.947780925537
summary_gpt4o_8_1,summary_gpt4o_69_1,578,147.178918986702
summary_gpt4o_8_1,summary_gpt4o_18_1,578,98.714166431817
summary_gpt4o_8_1,summary_gpt4o_75_1,578,139.38353060907647
summary_gpt4o_8_1,summary_gpt4o_186_1,578,139.821921037658
summary_gpt4o_8_1,summary_gpt4o_83_1,578,156.305988487004
summary_gpt4o_8_1,summary_gpt4o_54_1,578,153.395757883197
summary_gpt4o_8_1,summary_gpt4o_13_1,578,122.12835871438699
summary_gpt4o_8_1,summary_gpt4o_170_1,578,152.9645187747777
summary_gpt4o_8_1,summary_gpt4o_62_1,578,139.319951202472
summary_gpt4o_8_1,summary_gpt4o_140_1,578,143.920944841402
summary_gpt4o_8_1,summary_gpt4o_23_1,578,111.398280397812
summary_gpt4o_8_1,summary_gpt4o_66_1,578,139.42962010437196
summary_gpt4o_8_1,summary_gpt4o_42_1,578,136.65944450718698
summary_gpt4o_8_1,summary_gpt4o_33_1,578,125.33238029586599
summary_gpt4o_83_1,summary_gpt4o_100_1,3084,722.5803756219885
summary_gpt4o_83_1,summary_gpt4o_28_1,3084,265.258736339454
summary_gpt4o_83_1,summary_gpt4o_180_1,3084,583.6921367130673
summary_gpt4o_83_1,summary_gpt4o_73_1,3084,489.91443685141553
summary_gpt4o_83_1,summary_gpt4o_38_1,3084,333.423519162494
summary_gpt4o_83_1,summary_gpt4o_49_1,3084,456.6187869146308
summary_gpt4o_83_1,summary_gpt4o_3_1,3084,38.783049362624034
summary_gpt4o_83_1,summary_gpt4o_69_1,3084,486.039105661122
summary_gpt4o_83_1,summary_gpt4o_18_1,3084,142.04662445036203
summary_gpt4o_83_1,summary_gpt4o_75_1,3084,560.6771792037056
summary_gpt4o_83_1,summary_gpt4o_186_1,3084,525.844377818196
summary_gpt4o_83_1,summary_gpt4o_8_1,3084,115.51310302792001
summary_gpt4o_83_1,summary_gpt4o_54_1,3084,544.122860853371
summary_gpt4o_83_1,summary_gpt4o_13_1,3084,156.2596128246103
summary_gpt4o_83_1,summary_gpt4o_170_1,3084,518.1748113970754
summary_gpt4o_83_1,summary_gpt4o_62_1,3084,448.994874127296
summary_gpt4o_83_1,summary_gpt4o_140_1,3084,538.3740892539623
summary_gpt4o_83_1,summary_gpt4o_23_1,3084,232.8954908121527
summary_gpt4o_83_1,summary_gpt4o_66_1,3084,506.4049659869236
summary_gpt4o_83_1,summary_gpt4o_42_1,3084,412.8531778532928
summary_gpt4o_83_1,summary_gpt4o_33_1,3084,327.78617921689954
summary_gpt4o_54_1,summary_gpt4o_100_1,2719,550.3366171412848
summary_gpt4o_54_1,summary_gpt4o_28_1,2719,249.33008657002
summary_gpt4o_54_1,summary_gpt4o_180_1,2719,535.9525094001662
summary_gpt4o_54_1,summary_gpt4o_73_1,2719,457.2635970114951
summary_gpt4o_54_1,summary_gpt4o_38_1,2719,281.89361501589
summary_gpt4o_54_1,summary_gpt4o_49_1,2719,375.367856031404
summary_gpt4o_54_1,summary_gpt4o_3_1,2719,28.307799635230012
summary_gpt4o_54_1,summary_gpt4o_69_1,2719,448.20700403697805
summary_gpt4o_54_1,summary_gpt4o_18_1,2719,153.5621494394
summary_gpt4o_54_1,summary_gpt4o_75_1,2719,537.399313753161
summary_gpt4o_54_1,summary_gpt4o_186_1,2719,523.1178312276004
summary_gpt4o_54_1,summary_gpt4o_8_1,2719,109.68995973016999
summary_gpt4o_54_1,summary_gpt4o_83_1,2719,577.5037996308804
summary_gpt4o_54_1,summary_gpt4o_13_1,2719,155.73067363602496
summary_gpt4o_54_1,summary_gpt4o_170_1,2719,463.64219179604544
summary_gpt4o_54_1,summary_gpt4o_62_1,2719,375.1888802609559
summary_gpt4o_54_1,summary_gpt4o_140_1,2719,474.467846182172
summary_gpt4o_54_1,summary_gpt4o_23_1,2719,221.031257668
summary_gpt4o_54_1,summary_gpt4o_66_1,2719,475.869628905662
summary_gpt4o_54_1,summary_gpt4o_42_1,2719,345.1914153351269
summary_gpt4o_54_1,summary_gpt4o_33_1,2719,256.37778478369006
summary_gpt4o_13_1,summary_gpt4o_100_1,780,213.220891808448
summary_gpt4o_13_1,summary_gpt4o_28_1,780,182.04759151474
summary_gpt4o_13_1,summary_gpt4o_180_1,780,209.03544421858402
summary_gpt4o_13_1,summary_gpt4o_73_1,780,192.593223611393
summary_gpt4o_13_1,summary_gpt4o_38_1,780,171.76785474176495
summary_gpt4o_13_1,summary_gpt4o_49_1,780,180.09163284486598
summary_gpt4o_13_1,summary_gpt4o_3_1,780,62.06252810435001
