tag,kind,context_id,context_len,target_id,n_keypoints,target_len,mbits,rate
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_37_1,37,2012,224.45392818736505,0.2302091571152462
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_37_1,37,2012,106.27971249305006,0.16816410204596527
1000,recall,3,998,summary_gpt4o_37_1,37,2012,86.49205990471125,0.08666539068608342
1000,brief,brief_3,618,summary_gpt4o_37_1,37,2012,64.72464996832173,0.10473244331443646
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_38_1,38,1437,259.6366102074837,0.2662939591871628
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_38_1,38,1437,108.18396501979667,0.17117715984145043
1000,recall,3,998,summary_gpt4o_38_1,38,1437,83.56381827134749,0.08373128083301351
1000,brief,brief_3,618,summary_gpt4o_38_1,38,1437,81.13430498957109,0.13128528315464577
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_39_1,39,2048,179.8543928635088,0.18446604396257313
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_39_1,39,2048,112.04134859328953,0.1772806148627999
1000,recall,3,998,summary_gpt4o_39_1,39,2048,92.69454804448652,0.09288030866181014
1000,brief,brief_3,618,summary_gpt4o_39_1,39,2048,99.51508161701564,0.16102764015698323
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_40_1,40,1951,188.9547889922809,0.19379978358182656
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_40_1,40,1951,96.70551004029312,0.15301504753210937
1000,recall,3,998,summary_gpt4o_40_1,40,1951,75.95215938175318,0.07610436811798915
1000,brief,brief_3,618,summary_gpt4o_40_1,40,1951,58.82169436177196,0.09518073521322323
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_41_1,41,2233,210.6771202631288,0.21607909770577313
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_41_1,41,2233,113.36994185220806,0.17938281938640516
1000,recall,3,998,summary_gpt4o_41_1,41,2233,123.59683427644836,0.12384452332309455
1000,brief,brief_3,618,summary_gpt4o_41_1,41,2233,98.40695441173466,0.15923455406429557
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_42_1,42,1795,240.8156920132277,0.2469904533469002
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_42_1,42,1795,104.88063131418198,0.1659503660034525
1000,recall,3,998,summary_gpt4o_42_1,42,1795,111.06418659962378,0.1112867601198635
1000,brief,brief_3,618,summary_gpt4o_42_1,42,1795,82.22443765251023,0.1330492518649033
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_43_1,43,2308,236.61390851191868,0.24268093180709607
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_43_1,43,2308,93.13340476521672,0.14736298222344418
1000,recall,3,998,summary_gpt4o_43_1,43,2308,120.05511687235366,0.12029570828893153
1000,brief,brief_3,618,summary_gpt4o_43_1,43,2308,98.2014858670466,0.1589020806910139
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_44_1,44,1696,209.0989119486727,0.2144604225114592
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_44_1,44,1696,71.84985192270506,0.11368647456124217
1000,recall,3,998,summary_gpt4o_44_1,44,1696,108.87706119759912,0.10909525170100112
1000,brief,brief_3,618,summary_gpt4o_44_1,44,1696,91.41710558466308,0.1479241190690341
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_45_1,45,1886,206.1058109319604,0.2113905753148312
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_45_1,45,1886,82.63251108954046,0.1307476441290197
1000,recall,3,998,summary_gpt4o_45_1,45,1886,87.6796215968102,0.08785533226133285
1000,brief,brief_3,618,summary_gpt4o_45_1,45,1886,77.3684780049391,0.1251917119821021
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_46_1,46,1962,165.72754245993087,0.16997696662557013
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_46_1,46,1962,85.6838801187871,0.13557575968162516
1000,recall,3,998,summary_gpt4o_46_1,46,1962,144.118999662046,0.14440781529263128
1000,brief,brief_3,618,summary_gpt4o_46_1,46,1962,118.14750203353503,0.19117718775652917
